Date,Close,High,Low,Open,Volume
2010/3/15,6.67,6.7,6.48,6.6,26022391
2010/3/16,6.74,6.9,6.61,6.61,27509550
2010/3/17,7.07,7.2,6.66,6.76,71824003
2010/3/18,7.01,7.1,6.91,7.03,48727846
2010/3/19,7.07,7.14,6.92,7.03,44382278
2010/3/22,7.09,7.26,7.02,7.07,52403014
2010/3/23,6.91,7.2,6.86,7.08,49927309
2010/3/24,7,7.02,6.8,6.9,35284941
2010/3/25,6.82,7.05,6.8,7,24190398
2010/3/26,6.83,6.89,6.67,6.78,19688687
2010/3/29,6.7,6.84,6.59,6.83,53074874
2010/3/30,6.68,6.72,6.56,6.72,36052612
2010/3/31,6.75,6.82,6.55,6.65,37074998
2010/4/1,6.85,6.93,6.65,6.73,44801224
2010/4/2,6.93,6.95,6.78,6.8,37528114
2010/4/6,6.89,7.04,6.82,6.93,33364582
2010/4/7,6.79,6.87,6.77,6.86,21317363
2010/4/8,6.67,6.81,6.62,6.81,25024707
2010/4/9,6.73,6.76,6.64,6.65,16974940
2010/4/12,6.67,6.77,6.62,6.75,22341554
2010/4/13,6.56,6.75,6.45,6.67,24944272
2010/4/14,6.68,6.74,6.51,6.56,18531461
2010/4/15,6.56,6.71,6.5,6.7,18715885
2010/4/16,6.62,6.69,6.5,6.55,14137684
2010/4/19,6.46,6.74,6.43,6.62,22458337
2010/4/20,6.33,6.49,6.1,6.4,23292358
2010/4/21,6.5,6.54,6.26,6.33,21268215
2010/4/22,6.59,6.68,6.38,6.46,24995075
2010/4/23,6.57,6.67,6.51,6.59,17214242
2010/4/26,6.57,6.57,6.57,6.57,0
2010/4/27,5.98,6.38,5.91,6.07,51921419
2010/4/28,5.58,5.91,5.4,5.9,40648217
2010/4/29,5.59,5.77,5.48,5.48,24660111
2010/4/30,5.24,5.59,5.09,5.58,21573074
2010/5/4,5.07,5.2,4.98,5.12,14668155
2010/5/5,5.27,5.27,4.96,4.97,24153450
2010/5/6,5.15,5.38,5.13,5.3,20158882
2010/5/7,5.29,5.41,5.02,5.08,20388563
2010/5/10,5.19,5.32,5.03,5.27,14828905
2010/5/11,5.13,5.33,5.06,5.26,13681681
2010/5/12,4.89,5.15,4.83,5.08,16327806
2010/5/13,4.93,4.97,4.75,4.85,14034872
2010/5/14,4.99,5.1,4.82,4.89,15805797
2010/5/17,4.52,4.97,4.49,4.93,19005384
2010/5/18,4.4,4.57,4.15,4.51,24295899
2010/5/19,4.36,4.45,4.27,4.34,12442527
2010/5/20,4.23,4.42,4.21,4.31,12198642
2010/5/21,4.25,4.3,4.02,4.03,15143647
2010/5/24,4.68,4.68,4.29,4.29,34934488
2010/5/25,4.82,4.94,4.65,4.7,58699106
2010/5/26,4.75,4.85,4.62,4.76,21554233
2010/5/27,4.85,4.88,4.65,4.72,20765231
2010/5/28,4.79,4.93,4.75,4.87,16664472
2010/5/31,4.56,4.82,4.54,4.82,17343512
2010/6/1,4.44,4.53,4.31,4.5,17215426
2010/6/2,4.44,4.44,4.44,4.44,0
2010/6/3,4.88,4.88,4.47,4.55,31508451
2010/6/4,5.17,5.35,4.79,4.89,73979347
2010/6/7,5.1,5.18,4.92,5,39690726
2010/6/8,5.01,5.12,4.91,5.05,24538144
2010/6/9,5.2,5.3,4.93,5.03,45560077
2010/6/10,5.19,5.33,5.09,5.17,31980622
