Date,Close,High,Low,Open,Volume
2010/3/15,6.658,6.697,6.581,6.658,2971399
2010/3/16,6.697,6.716,6.62,6.678,2242487
2010/3/17,6.822,6.822,6.668,6.697,4189599
2010/3/18,6.995,7.004,6.793,6.802,11017834
2010/3/19,7.148,7.168,6.927,6.985,18461990
2010/3/22,7.552,7.667,7.071,7.12,17835711
2010/3/23,7.312,7.629,7.302,7.456,30884504
2010/3/24,7.312,7.389,7.158,7.283,10773780
2010/3/25,7.456,7.494,7.1,7.264,15705371
2010/3/26,7.552,7.667,7.312,7.36,15225438
2010/3/29,7.792,7.84,7.437,7.494,18528309
2010/3/30,7.6,7.879,7.571,7.782,28838938
2010/3/31,7.485,7.658,7.446,7.59,13338521
2010/4/1,7.485,7.59,7.446,7.494,9052764
2010/4/2,7.504,7.552,7.417,7.456,7190281
2010/4/6,7.417,7.542,7.369,7.513,7454372
2010/4/7,7.475,7.562,7.398,7.446,7099334
2010/4/8,7.389,7.485,7.36,7.485,5083711
2010/4/9,7.485,7.523,7.369,7.369,5393411
2010/4/12,7.667,7.715,7.494,7.494,13920328
2010/4/13,7.475,7.734,7.312,7.696,8911735
2010/4/14,7.667,7.782,7.398,7.475,13549548
2010/4/15,7.706,7.831,7.571,7.648,10195139
2010/4/16,7.754,7.85,7.581,7.715,9838255
2010/4/19,7.302,7.734,7.292,7.734,9355862
2010/4/20,7.446,7.485,7.216,7.312,6854677
2010/4/21,7.562,7.581,7.379,7.398,7292894
2010/4/22,7.389,7.552,7.292,7.494,11637121
2010/4/23,7.283,7.465,7.264,7.35,5610630
2010/4/26,7.023,7.321,6.956,7.283,8544031
2010/4/27,6.774,7.062,6.63,7.033,6860531
2010/4/28,6.706,6.87,6.61,6.726,6503667
2010/4/29,6.62,6.802,6.61,6.745,4912363
2010/4/30,6.639,6.697,6.495,6.62,3830107
2010/5/4,6.678,6.726,6.514,6.524,2828957
2010/5/5,6.802,6.841,6.562,6.678,4465270
2010/5/6,6.639,6.899,6.61,6.841,4639882
2010/5/7,6.601,6.783,6.37,6.485,3669840
2010/5/10,6.639,6.735,6.437,6.63,4585700
2010/5/11,6.572,6.851,6.572,6.774,4370959
2010/5/12,6.12,6.581,6.005,6.543,5363381
2010/5/13,6.188,6.226,5.919,6.149,3568137
2010/5/14,6.188,6.188,6.188,6.188,0
2010/5/17,5.726,6.188,5.717,6.053,3481270
2010/5/18,5.842,5.88,5.698,5.736,3624482
2010/5/19,5.755,5.842,5.707,5.822,2418818
2010/5/20,5.861,5.909,5.707,5.746,4330085
2010/5/21,6.015,6.053,5.63,5.736,3894201
2010/5/24,6.572,6.62,5.919,5.919,7836265
2010/5/25,6.361,6.687,6.284,6.457,11375795
2010/5/26,6.332,6.418,6.207,6.312,3083098
2010/5/27,6.351,6.428,6.159,6.312,3226167
2010/5/28,6.284,6.466,6.274,6.409,2311961
2010/5/31,6.082,6.38,6.063,6.207,2200862
2010/6/1,5.89,6.053,5.765,6.034,2783336
2010/6/2,5.995,6.024,5.861,5.861,2052759
2010/6/3,6.015,6.274,5.957,6.005,3624649
2010/6/4,6.284,6.485,6.149,6.197,9189047
2010/6/7,6.111,6.14,5.976,6.072,4327667
2010/6/8,6.111,6.13,5.947,6.111,2911003
2010/6/9,6.322,6.399,6.053,6.149,6640720
2010/6/10,6.293,6.418,6.216,6.245,4628226
2010/6/11,6.197,6.341,6.159,6.312,2332390
2010/6/15,6.197,6.197,6.197,6.197,0
2010/6/17,6.197,6.197,6.197,6.197,0
2010/6/18,5.919,6.197,5.832,6.149,3117632
2010/6/21,6.063,6.082,5.822,5.919,1983587
2010/6/22,6.053,6.101,5.986,6.063,1764231
2010/6/23,6.034,6.101,5.967,6.034,1786278
2010/6/24,6.063,6.082,5.986,6.053,1497357
2010/6/25,5.976,6.101,5.938,6.015,1390887
2010/6/28,5.861,6.005,5.765,5.938,1614792
2010/6/29,5.553,5.88,5.553,5.861,3541218
2010/6/30,5.323,5.563,5.275,5.563,2682647
2010/7/1,5.236,5.409,5.208,5.332,1890613
2010/7/2,5.294,5.304,5.025,5.236,2307576
2010/7/5,5.198,5.275,5.092,5.179,1624036
2010/7/6,5.294,5.332,5.169,5.198,1621828
2010/7/7,5.621,5.822,5.573,5.592,9623696
2010/7/8,5.544,5.611,5.429,5.477,5258181
2010/7/9,5.621,5.678,5.448,5.534,4051801
2010/7/12,5.659,5.669,5.544,5.621,3219850
2010/7/13,5.467,5.621,5.419,5.621,3376347
2010/7/14,5.505,5.553,5.438,5.457,3694364
2010/7/15,5.352,5.505,5.332,5.505,3145723
2010/7/16,5.323,5.371,5.198,5.323,3397525
2010/7/19,5.457,5.525,5.217,5.217,3537229
2010/7/20,5.601,5.611,5.409,5.448,5561685
2010/7/21,5.698,5.794,5.525,5.601,8813730
2010/7/22,5.794,5.813,5.621,5.688,5823206
2010/7/23,5.717,5.784,5.65,5.774,4727123
2010/7/26,5.726,5.746,5.592,5.717,3841921
2010/7/27,5.774,5.822,5.659,5.726,5688084
2010/7/28,5.89,5.938,5.688,5.755,7105120
2010/7/29,5.87,5.89,5.794,5.861,4819456
2010/7/30,5.88,5.89,5.736,5.87,4956742
2010/8/2,5.967,6.043,5.851,5.89,5928551
2010/8/3,5.842,5.986,5.822,5.957,5313422
2010/8/4,5.919,5.919,5.794,5.803,4586380
2010/8/5,5.995,6.034,5.89,5.957,5758746
2010/8/6,6.159,6.168,5.89,5.976,8154381
2010/8/9,6.149,6.226,6.082,6.197,6777202
2010/8/10,5.919,6.159,5.909,6.149,7064938
2010/8/11,5.919,5.976,5.832,5.919,4106677
2010/8/12,5.784,5.919,5.765,5.919,3967316
2010/8/13,5.87,5.89,5.717,5.784,2964303
2010/8/16,6.053,6.12,5.88,5.909,5741892
2010/8/17,6.111,6.14,5.976,6.072,6189793
2010/8/18,6.428,6.533,6.024,6.063,14480181
2010/8/19,6.62,6.745,6.293,6.533,19324095
2010/8/20,6.514,6.716,6.399,6.601,18954768
2010/8/23,6.293,6.581,6.264,6.437,9515559
2010/8/24,6.37,6.389,6.197,6.312,5587692
2010/8/25,6.063,6.303,6.053,6.236,7645509
2010/8/26,6.053,6.111,5.976,6.063,3945664
2010/8/27,6.111,6.13,5.967,6.072,3178135
2010/8/30,6.226,6.293,6.082,6.101,5282773
2010/8/31,6.082,6.245,6.005,6.207,6102055
2010/9/1,6.236,6.322,6.091,6.159,7232036
2010/9/2,6.37,6.466,6.245,6.255,9169628
2010/9/3,6.457,6.505,6.332,6.341,7953926
2010/9/6,6.476,6.514,6.389,6.485,6178690
2010/9/7,6.476,6.581,6.418,6.457,6851477
2010/9/8,6.409,6.466,6.37,6.418,4240057
2010/9/9,6.264,6.457,6.255,6.409,4606093
2010/9/10,6.658,6.726,6.284,6.332,11779527
2010/9/13,6.668,6.802,6.63,6.687,10556775
2010/9/14,7.216,7.292,6.678,6.678,25267396
2010/9/15,7.254,7.485,7.071,7.216,21382243
2010/9/16,7.129,7.465,6.966,7.254,15462774
2010/9/17,7.408,7.523,7.023,7.148,16139439
2010/9/20,8.148,8.148,7.408,7.465,34425304
2010/9/21,7.811,8.513,7.725,8.263,28627817
2010/9/27,8.013,8.1,7.686,8.032,16525353
2010/9/28,7.879,8.311,7.821,7.888,14046949
2010/9/29,7.859,7.984,7.667,7.802,12143717
2010/9/30,7.773,7.802,7.581,7.734,9451781
2010/10/8,7.869,8.148,7.773,7.782,12702992
2010/10/11,8.148,8.34,7.734,7.898,18835460
2010/10/12,7.879,8.128,7.831,8.023,11304180
2010/10/13,7.715,7.869,7.629,7.811,9118257
2010/10/14,7.446,7.552,7.398,7.552,9261049
2010/10/15,7.206,7.504,7.11,7.398,9677084
2010/10/18,7.11,7.216,6.995,7.216,7830902
2010/10/19,7.312,7.321,7.071,7.1,6865349
2010/10/20,7.389,7.485,7.1,7.139,7923669
2010/10/21,7.369,7.523,7.225,7.379,5826907
2010/10/22,7.485,7.658,7.244,7.35,9144153
2010/10/25,7.552,7.677,7.437,7.446,7796352
2010/10/26,7.619,7.629,7.427,7.542,7716131
2010/10/27,7.321,7.59,7.302,7.59,6581607
2010/10/28,7.811,7.859,7.321,7.456,15913226
2010/10/29,7.686,7.859,7.321,7.456,10114301
2010/11/1,7.792,7.831,7.562,7.734,10658090
2010/11/2,7.638,7.831,7.59,7.831,11050349
2010/11/3,7.907,8.128,7.542,7.629,16056916
2010/11/4,8.003,8.071,7.773,7.936,8892790
2010/11/5,8.013,8.109,7.927,8.013,9048575
2010/11/8,8.234,8.301,7.936,8.023,11896373
2010/11/9,8.34,8.493,8.176,8.311,12463530
2010/11/10,8.686,8.907,8.138,8.263,20937686
2010/11/11,8.474,8.83,8.445,8.686,16111113
2010/11/12,7.763,8.58,7.696,8.388,14292034
2010/11/15,7.917,7.965,7.734,7.763,7080731
2010/11/16,7.571,8.052,7.465,7.917,9659485
2010/11/17,7.571,7.571,7.571,7.571,0
2010/11/18,7.485,7.562,7.168,7.437,7170974
2010/11/19,7.629,7.734,7.408,7.513,6185974
2010/11/22,7.792,7.975,7.504,7.59,7856879
2010/11/23,7.946,8.119,7.715,7.859,6734285
2010/11/24,8.167,8.224,7.84,7.907,7358741
2010/11/25,8.128,8.311,8.071,8.157,7001298
2010/11/26,8.167,8.321,8.042,8.128,9454934
2010/11/29,8.272,8.33,8.052,8.196,8416843
2010/11/30,7.898,8.263,7.686,8.263,10535471
2010/12/1,7.869,7.927,7.782,7.859,3843858
2010/12/2,8.08,8.34,7.888,7.975,17371106
2010/12/3,7.744,7.994,7.629,7.984,13183853
2010/12/6,7.59,7.811,7.533,7.744,4570981
2010/12/7,7.696,7.706,7.456,7.6,3708380
2010/12/8,7.696,7.936,7.648,7.686,5337677
2010/12/9,7.504,7.744,7.494,7.59,3944965
2010/12/10,7.581,7.6,7.398,7.398,2693129
2010/12/13,7.782,7.831,7.581,7.581,4964744
2010/12/14,7.831,7.888,7.754,7.802,5602147
2010/12/15,7.84,7.936,7.773,7.831,5314556
2010/12/16,7.715,7.869,7.696,7.869,5450657
2010/12/17,7.773,7.831,7.658,7.696,3273645
2010/12/20,7.811,7.965,7.667,7.965,5935327
2010/12/21,7.888,8.176,7.869,7.975,11964580
2010/12/22,8.042,8.128,7.782,7.85,10334447
2010/12/23,7.907,8.08,7.869,8.032,5359855
2010/12/24,7.504,7.85,7.465,7.831,7094683
2010/12/27,7.196,7.59,7.168,7.494,6325568
2010/12/28,7.071,7.264,7.004,7.187,3122679
2010/12/29,7.206,7.206,7.043,7.177,1875729
2010/12/30,7.139,7.254,7.081,7.196,2101106
2010/12/31,7.216,7.235,7.11,7.129,2698059
2011/1/4,7.302,7.331,7.177,7.225,3776186
2011/1/5,7.312,7.331,7.206,7.302,4234014
2011/1/6,7.206,7.35,7.148,7.283,2984081
2011/1/7,7.11,7.206,7.004,7.168,3944322
2011/1/10,7.091,7.177,7.033,7.11,2609330
2011/1/11,7.206,7.216,6.87,7.081,4998934
2011/1/12,7.475,7.494,7.168,7.206,8650221
2011/1/13,7.187,7.446,7.139,7.398,8450773
2011/1/14,6.851,7.168,6.802,7.168,5643091
2011/1/17,6.601,6.841,6.533,6.831,4283552
2011/1/18,6.601,6.649,6.524,6.591,1414918
2011/1/19,6.793,6.812,6.533,6.601,2727458
2011/1/20,6.524,6.783,6.485,6.774,2118200
2011/1/21,6.447,6.62,6.341,6.533,3782270
2011/1/24,6.13,6.514,6.12,6.447,4567099
2011/1/25,5.986,6.236,5.938,6.236,2527711
2011/1/26,6.082,6.101,6.015,6.024,1298175
2011/1/27,6.197,6.226,6.034,6.091,2040050
2011/1/28,6.284,6.332,6.188,6.197,1657825
2011/1/31,6.341,6.351,6.197,6.312,1779393
