Date,Close,High,Low,Open,Volume
2010/3/15,6.438,6.63,6.402,6.613,10584532
2010/3/16,6.473,6.481,6.402,6.438,6626677
2010/3/17,6.622,6.622,6.473,6.473,10636735
2010/3/18,6.578,6.657,6.56,6.622,8711146
2010/3/19,6.622,6.622,6.516,6.569,9717640
2010/3/22,6.683,6.692,6.604,6.622,11315926
2010/3/23,6.622,6.727,6.604,6.683,9395728
2010/3/24,6.613,6.674,6.587,6.63,9054594
2010/3/25,6.446,6.604,6.446,6.604,12157153
2010/3/26,6.508,6.534,6.429,6.446,7227256
2010/3/29,6.613,6.622,6.516,6.516,10620287
2010/3/30,6.613,6.63,6.56,6.622,9458661
2010/3/31,6.499,6.595,6.446,6.595,21197790
2010/4/1,6.534,6.569,6.446,6.49,22509161
2010/4/2,6.552,6.56,6.473,6.543,18551892
2010/4/6,6.771,6.788,6.56,6.578,38631851
2010/4/7,6.674,6.762,6.604,6.762,19002458
2010/4/8,6.595,6.666,6.578,6.666,13661590
2010/4/9,6.788,6.867,6.587,6.595,30192291
2010/4/12,6.806,6.885,6.718,6.762,26303851
2010/4/13,6.674,6.841,6.499,6.806,22560619
2010/4/14,6.639,6.692,6.56,6.666,14960988
2010/4/15,6.639,6.745,6.578,6.692,15880416
2010/4/16,6.578,6.657,6.508,6.639,11091127
2010/4/19,6.201,6.534,6.183,6.534,19955860
2010/4/20,6.236,6.306,6.052,6.192,13372506
2010/4/21,6.297,6.306,6.148,6.245,13909040
2010/4/22,6.218,6.271,6.157,6.271,13765654
2010/4/23,6.157,6.271,6.148,6.192,10940190
2010/4/26,6.034,6.227,6.008,6.218,13474164
2010/4/27,6.034,6.034,6.034,6.034,0
2010/4/28,5.815,5.903,5.683,5.815,12816335
2010/4/29,5.508,5.894,5.49,5.815,14082096
2010/4/30,5.368,5.578,5.271,5.525,11730750
2010/5/4,5.28,5.324,5.175,5.262,7639926
2010/5/5,5.376,5.376,5.148,5.245,11012278
2010/5/6,5.227,5.429,5.218,5.394,10393007
2010/5/7,5.14,5.28,5.008,5.122,7747198
2010/5/10,5.14,5.201,4.999,5.096,7792279
2010/5/11,5.078,5.28,5.061,5.236,8699541
2010/5/12,5.034,5.131,4.929,5.025,6673711
2010/5/13,5.166,5.175,5.008,5.025,8725517
2010/5/14,5.166,5.201,5.078,5.157,6924402
2010/5/17,4.701,5.104,4.648,5.104,8538088
2010/5/18,4.657,4.727,4.447,4.701,10775253
2010/5/19,4.578,4.675,4.499,4.64,7912215
2010/5/20,4.464,4.613,4.455,4.526,7243873
2010/5/21,4.49,4.508,4.245,4.298,9409094
2010/5/24,4.938,4.938,4.508,4.508,18490640
2010/5/25,4.868,5.087,4.824,4.938,23626008
2010/5/26,4.911,5.017,4.824,4.841,9667233
2010/5/27,4.938,4.982,4.824,4.911,10697986
